Date,PSAVERT
2014-07-01,7.2
2014-08-01,7.0
2014-09-01,7.2
2014-10-01,7.1
2014-11-01,7.3
2014-12-01,7.7
2015-01-01,8.0
2015-02-01,8.1
2015-03-01,7.7
2015-04-01,7.6
2015-05-01,7.5
2015-06-01,7.4
2015-07-01,7.3
2015-08-01,7.3
2015-09-01,7.4
2015-10-01,7.5
2015-11-01,7.3
2015-12-01,7.4
2016-01-01,7.7
2016-02-01,7.2
2016-03-01,7.6
2016-04-01,7.2
2016-05-01,6.9
2016-06-01,6.6
2016-07-01,6.8
2016-08-01,6.8
2016-09-01,6.8
2016-10-01,6.9
2016-11-01,7.0
2016-12-01,6.5
2017-01-01,6.9
2017-02-01,7.2
2017-03-01,7.2
2017-04-01,7.2
2017-05-01,7.8
2017-06-01,7.5
2017-07-01,7.6
2017-08-01,7.6
2017-09-01,7.3
2017-10-01,7.4
2017-11-01,7.0
2017-12-01,6.6
2018-01-01,7.4
2018-02-01,7.6
2018-03-01,7.6
2018-04-01,7.4
2018-05-01,7.5
2018-06-01,7.6
2018-07-01,7.6
2018-08-01,7.6
2018-09-01,7.6
2018-10-01,7.4
2018-11-01,7.2
2018-12-01,9.0
2019-01-01,8.7
2019-02-01,8.8
2019-03-01,8.2
2019-04-01,7.7
2019-05-01,7.4
2019-06-01,7.2
2019-07-01,7.0
2019-08-01,7.2
2019-09-01,7.3
2019-10-01,7.4
2019-11-01,7.5
2019-12-01,7.3
2020-01-01,7.8
2020-02-01,8.3
2020-03-01,13.1
2020-04-01,33.8
2020-05-01,24.8
2020-06-01,19.3
2020-07-01,18.7
2020-08-01,15.0
2020-09-01,14.3
2020-10-01,13.6
2020-11-01,13.0
2020-12-01,14.0
2021-01-01,19.9
2021-02-01,13.5
2021-03-01,26.6
2021-04-01,12.6
2021-05-01,10.4
2021-06-01,9.5
2021-07-01,10.5
2021-08-01,9.8
2021-09-01,8.1
2021-10-01,7.5
2021-11-01,7.6
2021-12-01,8.7
2022-01-01,6.0
2022-02-01,5.9
2022-03-01,5.0
2022-04-01,4.4